panel_id,camera,split,images
P1,IR1,test,116
P1,IR1,train,554
P1,IR1,val,116
P1,IR2,test,1383
P1,IR2,train,20951
P1,IR2,val,900
P1,IR3,test,1790
P1,IR3,train,18389
P1,IR3,val,1522
P10,IR1,test,10
P10,IR1,train,51
P10,IR1,val,13
P10,IR2,test,1987
P10,IR2,train,2742
P10,IR2,val,571
P10,IR3,test,420
P10,IR3,train,2055
P10,IR3,val,484
P2,IR1,test,50
P2,IR1,train,138
P2,IR1,val,32
P2,IR2,test,821
P2,IR2,train,812
P2,IR2,val,74
P2,IR3,test,236
P2,IR3,train,1232
P2,IR3,val,282
P3,IR1,test,9
P3,IR1,train,48
P3,IR1,val,9
P3,IR2,test,46
P3,IR2,train,283
P3,IR2,val,33
P3,IR3,test,174
P3,IR3,train,1199
P3,IR3,val,362
P4,IR1,test,27
P4,IR1,train,120
P4,IR1,val,37
P4,IR2,test,137
P4,IR2,train,845
P4,IR2,val,130
P4,IR3,test,209
P4,IR3,train,636
P4,IR3,val,147
P5,IR1,test,23
P5,IR1,train,117
P5,IR1,val,24
P5,IR2,test,102
P5,IR2,train,1683
P5,IR2,val,150
P5,IR3,test,544
P5,IR3,train,2073
P5,IR3,val,299
P6,IR1,test,50
P6,IR1,train,272
P6,IR1,val,50
P6,IR2,test,1571
P6,IR2,train,2716
P6,IR2,val,384
P6,IR3,test,766
P6,IR3,train,2805
P6,IR3,val,781
P7,IR1,test,4
P7,IR1,train,24
P7,IR1,val,6
P7,IR2,test,15
P7,IR2,train,420
P7,IR2,val,122
P7,IR3,test,79
P7,IR3,train,659
P7,IR3,val,177
P8,IR1,test,42
P8,IR1,train,131
P8,IR1,val,25
P8,IR2,test,67
P8,IR2,train,2149
P8,IR2,val,157
P8,IR3,test,528
P8,IR3,train,2029
P8,IR3,val,385
P9,IR1,test,65
P9,IR1,train,287
P9,IR1,val,62
P9,IR2,test,495
P9,IR2,train,12597
P9,IR2,val,343
P9,IR3,test,1380
P9,IR3,train,6306
P9,IR3,val,1539
