panel_id,camera,split,images
P1,IR1,test,117
P1,IR1,train,552
P1,IR1,val,117
P1,IR2,test,1632
P1,IR2,train,20535
P1,IR2,val,1067
P1,IR3,test,1851
P1,IR3,train,17829
P1,IR3,val,2021
P10,IR1,test,10
P10,IR1,train,52
P10,IR1,val,12
P10,IR2,test,446
P10,IR2,train,3030
P10,IR2,val,1824
P10,IR3,test,299
P10,IR3,train,2262
P10,IR3,val,398
P2,IR1,test,34
P2,IR1,train,156
P2,IR1,val,30
P2,IR2,test,153
P2,IR2,train,1235
P2,IR2,val,319
P2,IR3,test,265
P2,IR3,train,1096
P2,IR3,val,389
P3,IR1,test,11
P3,IR1,train,46
P3,IR1,val,9
P3,IR2,test,56
P3,IR2,train,189
P3,IR2,val,117
P3,IR3,test,146
P3,IR3,train,994
P3,IR3,val,595
P4,IR1,test,31
P4,IR1,train,125
P4,IR1,val,28
P4,IR2,test,90
P4,IR2,train,895
P4,IR2,val,127
P4,IR3,test,307
P4,IR3,train,492
P4,IR3,val,193
P5,IR1,test,25
P5,IR1,train,115
P5,IR1,val,24
P5,IR2,test,348
P5,IR2,train,1497
P5,IR2,val,90
P5,IR3,test,465
P5,IR3,train,2056
P5,IR3,val,395
P6,IR1,test,51
P6,IR1,train,266
P6,IR1,val,55
P6,IR2,test,1598
P6,IR2,train,2305
P6,IR2,val,768
P6,IR3,test,730
P6,IR3,train,2849
P6,IR3,val,773
P7,IR1,test,5
P7,IR1,train,24
P7,IR1,val,5
P7,IR2,test,354
P7,IR2,train,194
P7,IR2,val,9
P7,IR3,test,142
P7,IR3,train,677
P7,IR3,val,96
P8,IR1,test,37
P8,IR1,train,129
P8,IR1,val,32
P8,IR2,test,38
P8,IR2,train,2285
P8,IR2,val,50
P8,IR3,test,417
P8,IR3,train,2012
P8,IR3,val,513
P9,IR1,test,61
P9,IR1,train,289
P9,IR1,val,64
P9,IR2,test,9031
P9,IR2,train,4013
P9,IR2,val,391
P9,IR3,test,1339
P9,IR3,train,6375
P9,IR3,val,1511
