pair,panel_id,deployable_classes,images_compared,images_skipped,skip_a,skip_b,boxes_a,boxes_b,matched_boxes,paired_coverage,mIoU,kappa,count_agreement,interpretation_warning
annotator_A vs annotator_B,P1,4,4,1,0,1,14,10,10,0.8333,0.8343,1.0,0.5714,비교 4장 — 표본 부족
annotator_A vs annotator_B,P3,3,1,2,2,0,3,3,3,1.0,0.8457,1.0,1.0,비교 1장 — 표본 부족
annotator_A vs annotator_B,P4,5,1,7,7,0,3,3,3,1.0,0.6454,0.0,0.0,비교 1장 — 표본 부족
annotator_A vs annotator_B,P6,4,4,1,1,0,10,10,6,0.6,0.7807,0.0,0.0,비교 4장 — 표본 부족 · paired coverage 낮음 — 짝이 안 지어진 박스가 많다
annotator_A vs annotator_B,P9,2,7,2,2,1,87,90,68,0.7684,0.7459,1.0,0.8571,후보 2종 — 클래스 선택지가 좁아 Kappa 가 높게 나온다
annotator_A vs annotator_C,P1,4,4,1,0,1,14,14,11,0.7857,0.8133,1.0,0.625,비교 4장 — 표본 부족
annotator_A vs annotator_C,P3,3,0,3,2,3,0,0,0,,,,,
annotator_A vs annotator_C,P4,5,1,7,7,5,3,3,3,1.0,0.6238,0.0,0.0,비교 1장 — 표본 부족
annotator_A vs annotator_C,P6,4,3,2,1,2,7,7,6,0.8571,0.8104,1.0,1.0,비교 3장 — 표본 부족
annotator_A vs annotator_C,P9,2,7,2,2,1,87,93,82,0.9111,0.7645,1.0,0.7143,후보 2종 — 클래스 선택지가 좁아 Kappa 가 높게 나온다
annotator_A vs annotator_D,P1,4,5,0,0,0,19,17,17,0.9444,0.8565,1.0,0.8889,
annotator_A vs annotator_D,P3,3,1,2,2,0,3,3,3,1.0,0.9197,1.0,1.0,비교 1장 — 표본 부족
annotator_A vs annotator_D,P4,5,1,7,7,5,3,3,3,1.0,0.7466,1.0,1.0,비교 1장 — 표본 부족
annotator_A vs annotator_D,P6,4,3,2,1,1,7,7,2,0.2857,0.7848,0.0,0.2,비교 3장 — 표본 부족 · paired coverage 낮음 — 짝이 안 지어진 박스가 많다
annotator_A vs annotator_D,P9,2,7,2,2,1,87,89,84,0.9545,0.786,1.0,0.9286,후보 2종 — 클래스 선택지가 좁아 Kappa 가 높게 나온다
annotator_B vs annotator_C,P1,4,3,2,1,1,7,7,5,0.7143,0.7709,1.0,0.4,비교 3장 — 표본 부족
annotator_B vs annotator_C,P3,3,0,3,0,3,0,0,0,,,,,
annotator_B vs annotator_C,P4,5,3,5,0,5,13,11,7,0.5833,0.7223,0.4167,0.2,비교 3장 — 표본 부족 · paired coverage 낮음 — 짝이 안 지어진 박스가 많다
annotator_B vs annotator_C,P6,4,3,2,0,2,7,7,4,0.5714,0.609,0.0,0.0,비교 3장 — 표본 부족 · paired coverage 낮음 — 짝이 안 지어진 박스가 많다
annotator_B vs annotator_C,P9,2,8,1,1,1,93,96,73,0.7725,0.7232,1.0,0.875,후보 2종 — 클래스 선택지가 좁아 Kappa 가 높게 나온다
annotator_B vs annotator_D,P1,4,4,1,1,0,10,12,8,0.7273,0.835,1.0,0.4286,비교 4장 — 표본 부족
annotator_B vs annotator_D,P3,3,3,0,0,0,5,5,5,1.0,0.8816,0.375,0.2,비교 3장 — 표본 부족
annotator_B vs annotator_D,P4,5,3,5,0,5,12,7,6,0.6316,0.7452,0.3333,0.0,비교 3장 — 표본 부족 · paired coverage 낮음 — 짝이 안 지어진 박스가 많다
annotator_B vs annotator_D,P6,4,4,1,0,1,11,9,2,0.2,0.8489,1.0,0.1111,비교 4장 — 표본 부족 · paired coverage 낮음 — 짝이 안 지어진 박스가 많다
annotator_B vs annotator_D,P9,2,8,1,1,1,93,92,69,0.7459,0.713,1.0,0.8125,후보 2종 — 클래스 선택지가 좁아 Kappa 가 높게 나온다
annotator_C vs annotator_D,P1,4,4,1,1,0,14,12,11,0.8462,0.8217,1.0,0.7143,비교 4장 — 표본 부족
annotator_C vs annotator_D,P3,3,0,3,3,0,0,0,0,,,,,
annotator_C vs annotator_D,P4,5,2,6,5,5,8,6,6,0.8571,0.757,0.3333,0.0,비교 2장 — 표본 부족
annotator_C vs annotator_D,P6,4,3,2,2,1,7,7,2,0.2857,0.6429,0.0,0.2,비교 3장 — 표본 부족 · paired coverage 낮음 — 짝이 안 지어진 박스가 많다
annotator_C vs annotator_D,P9,2,8,1,1,1,96,92,83,0.883,0.7559,1.0,0.6875,후보 2종 — 클래스 선택지가 좁아 Kappa 가 높게 나온다
