panel_id,camera,split,images
P1,IR1,test,116
P1,IR1,train,550
P1,IR1,val,120
P1,IR2,test,1503
P1,IR2,train,20812
P1,IR2,val,919
P1,IR3,test,1924
P1,IR3,train,18222
P1,IR3,val,1555
P10,IR1,test,11
P10,IR1,train,52
P10,IR1,val,11
P10,IR2,test,865
P10,IR2,train,3896
P10,IR2,val,539
P10,IR3,test,375
P10,IR3,train,2199
P10,IR3,val,385
P2,IR1,test,27
P2,IR1,train,164
P2,IR1,val,29
P2,IR2,test,161
P2,IR2,train,1388
P2,IR2,val,158
P2,IR3,test,232
P2,IR3,train,1208
P2,IR3,val,310
P3,IR1,test,10
P3,IR1,train,46
P3,IR1,val,10
P3,IR2,test,52
P3,IR2,train,285
P3,IR2,val,25
P3,IR3,test,115
P3,IR3,train,1276
P3,IR3,val,344
P4,IR1,test,26
P4,IR1,train,130
P4,IR1,val,28
P4,IR2,test,299
P4,IR2,train,526
P4,IR2,val,287
P4,IR3,test,81
P4,IR3,train,682
P4,IR3,val,229
P5,IR1,test,26
P5,IR1,train,115
P5,IR1,val,23
P5,IR2,test,100
P5,IR2,train,1780
P5,IR2,val,55
P5,IR3,test,467
P5,IR3,train,2102
P5,IR3,val,347
P6,IR1,test,62
P6,IR1,train,259
P6,IR1,val,51
P6,IR2,test,1739
P6,IR2,train,2409
P6,IR2,val,523
P6,IR3,test,835
P6,IR3,train,2897
P6,IR3,val,620
P7,IR1,test,5
P7,IR1,train,24
P7,IR1,val,5
P7,IR2,test,14
P7,IR2,train,536
P7,IR2,val,7
P7,IR3,test,170
P7,IR3,train,622
P7,IR3,val,123
P8,IR1,test,33
P8,IR1,train,137
P8,IR1,val,28
P8,IR2,test,33
P8,IR2,train,2300
P8,IR2,val,40
P8,IR3,test,690
P8,IR3,train,1933
P8,IR3,val,319
P9,IR1,test,61
P9,IR1,train,294
P9,IR1,val,59
P9,IR2,test,296
P9,IR2,train,12713
P9,IR2,val,426
P9,IR3,test,1500
P9,IR3,train,6484
P9,IR3,val,1241
