panel_id,camera,split,images
P1,IR1,test,118
P1,IR1,train,550
P1,IR1,val,118
P1,IR2,test,3461
P1,IR2,train,16301
P1,IR2,val,3472
P1,IR3,test,3208
P1,IR3,train,15156
P1,IR3,val,3337
P10,IR1,test,11
P10,IR1,train,53
P10,IR1,val,10
P10,IR2,test,783
P10,IR2,train,3724
P10,IR2,val,793
P10,IR3,test,410
P10,IR3,train,2078
P10,IR3,val,471
P2,IR1,test,34
P2,IR1,train,153
P2,IR1,val,33
P2,IR2,test,287
P2,IR2,train,1146
P2,IR2,val,274
P2,IR3,test,284
P2,IR3,train,1211
P2,IR3,val,255
P3,IR1,test,12
P3,IR1,train,44
P3,IR1,val,10
P3,IR2,test,48
P3,IR2,train,256
P3,IR2,val,58
P3,IR3,test,254
P3,IR3,train,1257
P3,IR3,val,224
P4,IR1,test,28
P4,IR1,train,129
P4,IR1,val,27
P4,IR2,test,157
P4,IR2,train,767
P4,IR2,val,188
P4,IR3,test,165
P4,IR3,train,690
P4,IR3,val,137
P5,IR1,test,24
P5,IR1,train,114
P5,IR1,val,26
P5,IR2,test,285
P5,IR2,train,1378
P5,IR2,val,272
P5,IR3,test,451
P5,IR3,train,2048
P5,IR3,val,417
P6,IR1,test,58
P6,IR1,train,261
P6,IR1,val,53
P6,IR2,test,694
P6,IR2,train,3278
P6,IR2,val,699
P6,IR3,test,706
P6,IR3,train,2980
P6,IR3,val,666
P7,IR1,test,6
P7,IR1,train,23
P7,IR1,val,5
P7,IR2,test,67
P7,IR2,train,418
P7,IR2,val,72
P7,IR3,test,146
P7,IR3,train,628
P7,IR3,val,141
P8,IR1,test,29
P8,IR1,train,139
P8,IR1,val,30
P8,IR2,test,400
P8,IR2,train,1578
P8,IR2,val,395
P8,IR3,test,456
P8,IR3,train,2013
P8,IR3,val,473
P9,IR1,test,61
P9,IR1,train,289
P9,IR1,val,64
P9,IR2,test,2076
P9,IR2,train,9466
P9,IR2,val,1893
P9,IR3,test,1403
P9,IR3,train,6460
P9,IR3,val,1362
